,Unnamed: 0,강원도,가평군,가경동,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
207,,,통영시,공릉1동,,,,,,,,,,,,,
208,,,파주시,공릉2동,,,,,,,,,,,,,
209,,,평창군,공산동,,,,,,,,,,,,,
210,,,평택시,공산면,,,,,,,,,,,,,
211,,,포천시,공성면,,,,,,,,,,,,,
212,,,포항시남구,공음면,,,,,,,,,,,,,
213,,,포항시북구,공항동,,,,,,,,,,,,,
214,,,하남시,과림동,,,,,,,,,,,,,
215,,,하동군,과역면,,,,,,,,,,,,,
216,,,함안군,과천동,,,,,,,,,,,,,
217,,,함양군,관고동,,,,,,,,,,,,,
218,,,함평군,관교동,,,,,,,,,,,,,
219,,,합천군,관문동,,,,,,,,,,,,,
220,,,해남군,관산동,,,,,,,,,,,,,
221,,,해운대구,관산읍,,,,,,,,,,,,,
222,,,홍성군,관양1동,,,,,,,,,,,,,
223,,,홍천군,관양2동,,,,,,,,,,,,,
224,,,화성시,관음동,,,,,,,,,,,,,
225,,,화순군,관인면,,,,,,,,,,,,,
226,,,화천군,관저1동,,,,,,,,,,,,,
227,,,횡성군,관저2동,,,,,,,,,,,,,
228,,,,관촌면,,,,,,,,,,,,,
229,,,,관평동,,,,,,,,,,,,,
230,,,,광교1동,,,,,,,,,,,,,
231,,,,광교2동,,,,,,,,,,,,,
232,,,,광남1동,,,,,,,,,,,,,
233,,,,광남2동,,,,,,,,,,,,,
234,,,,광덕면,,,,,,,,,,,,,
235,,,,광도면,,,,,,,,,,,,,
236,,,,광림동,,,,,,,,,,,,,
237,,,,광명1동,,,,,,,,,,,,,
238,,,,광명2동,,,,,,,,,,,,,
239,,,,광명3동,,,,,,,,,,,,,
240,,,,광명4동,,,,,,,,,,,,,
241,,,,광명5동,,,,,,,,,,,,,
242,,,,광명6동,,,,,,,,,,,,,
243,,,,광명7동,,,,,,,,,,,,,
244,,,,광복동,,,,,,,,,,,,,
245,,,,광석면,,,,,,,,,,,,,
246,,,,광시면,,,,,,,,,,,,,
247,,,,광안제1동,,,,,,,,,,,,,
248,,,,광안제2동,,,,,,,,,,,,,
249,,,,광안제3동,,,,,,,,,,,,,
250,,,,광안제4동,,,,,,,,,,,,,
251,,,,광양읍,,,,,,,,,,,,,
252,,,,광영동,,,,,,,,,,,,,
253,,,,광의면,,,,,,,,,,,,,
254,,,,광장동,,,,,,,,,,,,,
255,,,,광적면,,,,,,,,,,,,,
256,,,,광정동,,,,,,,,,,,,,
257,,,,광천동,,,,,,,,,,,,,
258,,,,광천읍,,,,,,,,,,,,,
259,,,,광탄면,,,,,,,,,,,,,
260,,,,광평동,,,,,,,,,,,,,
261,,,,광혜원면,,,,,,,,,,,,,
262,,,,광활면,,,,,,,,,,,,,
263,,,,광희동,,,,,,,,,,,,,
264,,,,괘법동,,,,,,,,,,,,,
265,,,,괴산읍,,,,,,,,,,,,,
266,,,,괴정동,,,,,,,,,,,,,
267,,,,괴정제1동,,,,,,,,,,,,,
268,,,,괴정제2동,,,,,,,,,,,,,
269,,,,괴정제3동,,,,,,,,,,,,,
270,,,,괴정제4동,,,,,,,,,,,,,
271,,,,교1동,,,,,,,,,,,,,
272,,,,교2동,,,,,,,,,,,,,
273,,,,교남동,,,,,,,,,,,,,
274,,,,교동,,,,,,,,,,,,,
275,,,,교동면,,,,,,,,,,,,,
276,,,,교문1동,,,,,,,,,,,,,
277,,,,교문2동,,,,,,,,,,,,,
278,,,,교방동,,,,,,,,,,,,,
279,,,,교월동,,,,,,,,,,,,,
280,,,,교하동,,,,,,,,,,,,,
281,,,,교현.안림동,,,,,,,,,,,,,
282,,,,교현2동,,,,,,,,,,,,,
283,,,,구갈동,,,,,,,,,,,,,
284,,,,구래동,,,,,,,,,,,,,
285,,,,구례읍,,,,,,,,,,,,,
286,,,,구로제1동,,,,,,,,,,,,,
287,,,,구로제2동,,,,,,,,,,,,,
288,,,,구로제3동,,,,,,,,,,,,,
289,,,,구로제4동,,,,,,,,,,,,,
290,,,,구로제5동,,,,,,,,,,,,,
291,,,,구룡면,,,,,,,,,,,,,
292,,,,구룡포읍,,,,,,,,,,,,,
293,,,,구림면,,,,,,,,,,,,,
294,,,,구만면,,,,,,,,,,,,,
295,,,,구문소동,,,,,,,,,,,,,
296,,,,구미1동,,,,,,,,,,,,,
297,,,,구미동,,,,,,,,,,,,,
298,,,,구산동,,,,,,,,,,,,,
299,,,,구산면,,,,,,,,,,,,,
300,,,,구서제1동,,,,,,,,,,,,,
301,,,,구서제2동,,,,,,,,,,,,,
302,,,,구성동,,,,,,,,,,,,,
303,,,,구성면,,,,,,,,,,,,,
304,,,,구암1동,,,,,,,,,,,,,
305,,,,구암2동,,,,,,,,,,,,,
306,,,,구암동,,,,,,,,,,,,,
307,,,,구운동,,,,,,,,,,,,,
308,,,,구월1동,,,,,,,,,,,,,
309,,,,구월2동,,,,,,,,,,,,,
310,,,,구월3동,,,,,,,,,,,,,
311,,,,구월4동,,,,,,,,,,,,,
312,,,,구의제1동,,,,,,,,,,,,,
313,,,,구의제2동,,,,,,,,,,,,,
314,,,,구의제3동,,,,,,,,,,,,,
315,,,,구이면,,,,,,,,,,,,,
316,,,,구정면,,,,,,,,,,,,,
317,,,,구좌읍,,,,,,,,,,,,,
318,,,,구즉동,,,,,,,,,,,,,
319,,,,구지면,,,,,,,,,,,,,
320,,,,구천면,,,,,,,,,,,,,
321,,,,구평동,,,,,,,,,,,,,
322,,,,구포제1동,,,,,,,,,,,,,
323,,,,구포제2동,,,,,,,,,,,,,
324,,,,구포제3동,,,,,,,,,,,,,
325,,,,구항면,,,,,,,,,,,,,
326,,,,국동,,,,,,,,,,,,,
327,,,,국우동,,,,,,,,,,,,,
328,,,,국토정중앙면,,,,,,,,,,,,,
329,,,,군남면,,,,,,,,,,,,,
330,,,,군내면,,,,,,,,,,,,,
331,,,,군동면,,,,,,,,,,,,,
332,,,,군북면,,,,,,,,,,,,,
333,,,,군서면,,,,,,,,,,,,,
334,,,,군외면,,,,,,,,,,,,,
335,,,,군위읍,,,,,,,,,,,,,
336,,,,군자동,,,,,,,,,,,,,
337,,,,군포1동,,,,,,,,,,,,,
338,,,,군포2동,,,,,,,,,,,,,
339,,,,궁내동,,,,,,,,,,,,,
340,,,,궁류면,,,,,,,,,,,,,
341,,,,권선1동,,,,,,,,,,,,,
342,,,,권선2동,,,,,,,,,,,,,
343,,,,귀래면,,,,,,,,,,,,,
344,,,,귀인동,,,,,,,,,,,,,
345,,,,규암면,,,,,,,,,,,,,
346,,,,근남면,,,,,,,,,,,,,
347,,,,근덕면,,,,,,,,,,,,,
348,,,,근동면,,,,,,,,,,,,,
349,,,,근북면,,,,,,,,,,,,,
350,,,,근화동,,,,,,,,,,,,,
351,,,,근흥면,,,,,,,,,,,,,
352,,,,금가면,,,,,,,,,,,,,
353,,,,금강송면,,,,,,,,,,,,,
354,,,,금곡동,,,,,,,,,,,,,
355,,,,금곡면,,,,,,,,,,,,,
356,,,,금과면,,,,,,,,,,,,,
357,,,,금광1동,,,,,,,,,,,,,
358,,,,금광2동,,,,,,,,,,,,,
359,,,,금광면,,,,,,,,,,,,,
360,,,,금구면,,,,,,,,,,,,,
361,,,,금남동,,,,,,,,,,,,,
362,,,,금남면,,,,,,,,,,,,,
363,,,,금당면,,,,,,,,,,,,,
364,,,,금동,,,,,,,,,,,,,
365,,,,금마면,,,,,,,,,,,,,
366,,,,금사면,,,,,,,,,,,,,
367,,,,금사회동동,,,,,,,,,,,,,
368,,,,금산면,,,,,,,,,,,,,
369,,,,금산읍,,,,,,,,,,,,,
370,,,,금서면,,,,,,,,,,,,,
371,,,,금성동,,,,,,,,,,,,,
372,,,,금성면,,,,,,,,,,,,,
373,,,,금수면,,,,,,,,,,,,,
374,,,,금암1동,,,,,,,,,,,,,
375,,,,금암2동,,,,,,,,,,,,,
376,,,,금암동,,,,,,,,,,,,,
377,,,,금왕읍,,,,,,,,,,,,,
378,,,,금일읍,,,,,,,,,,,,,
379,,,,금정동,,,,,,,,,,,,,
380,,,,금정면,,,,,,,,,,,,,
381,,,,금지면,,,,,,,,,,,,,
382,,,,금창동,,,,,,,,,,,,,
383,,,,금천동,,,,,,,,,,,,,
384,,,,금천면,,,,,,,,,,,,,
385,,,,금촌1동,,,,,,,,,,,,,
386,,,,금촌2동,,,,,,,,,,,,,
387,,,,금촌3동,,,,,,,,,,,,,
388,,,,금학동,,,,,,,,,,,,,
389,,,,금호1가동,,,,,,,,,,,,,
390,,,,금호1동,,,,,,,,,,,,,
391,,,,금호2.3가동,,,,,,,,,,,,,
392,,,,금호2동,,,,,,,,,,,,,
393,,,,금호4가동,,,,,,,,,,,,,
394,,,,금호동,,,,,,,,,,,,,
395,,,,금호읍,,,,,,,,,,,,,
396,,,,기계면,,,,,,,,,,,,,
397,,,,기린면,,,,,,,,,,,,,
398,,,,기배동,,,,,,,,,,,,,
399,,,,기북면,,,,,,,,,,,,,
400,,,,기산면,,,,,,,,,,,,,
401,,,,기성동,,,,,,,,,,,,,
402,,,,기성면,,,,,,,,,,,,,
403,,,,기장읍,,,,,,,,,,,,,
404,,,,기흥동,,,,,,,,,,,,,
405,,,,길곡면,,,,,,,,,,,,,
406,,,,길동,,,,,,,,,,,,,
407,,,,길상면,,,,,,,,,,,,,
408,,,,길안면,,,,,,,,,,,,,
409,,,,길음제1동,,,,,,,,,,,,,
410,,,,길음제2동,,,,,,,,,,,,,
411,,,,김삿갓면,,,,,,,,,,,,,
412,,,,김포본동,,,,,,,,,,,,,
413,,,,김화읍,,,,,,,,,,,,,
414,,,,나산면,,,,,,,,,,,,,
415,,,,나운1동,,,,,,,,,,,,,
416,,,,나운2동,,,,,,,,,,,,,
417,,,,나운3동,,,,,,,,,,,,,
418,,,,나포면,,,,,,,,,,,,,
419,,,,낙동면,,,,,,,,,,,,,
420,,,,낙서면,,,,,,,,,,,,,
421,,,,낙성대동,,,,,,,,,,,,,
422,,,,낙안면,,,,,,,,,,,,,
423,,,,낙월면,,,,,,,,,,,,,
424,,,,난곡동,,,,,,,,,,,,,
425,,,,난향동,,,,,,,,,,,,,
426,,,,남가좌제1동,,,,,,,,,,,,,
427,,,,남가좌제2동,,,,,,,,,,,,,
428,,,,남면,,,,,,,,,,,,,
429,,,,남목1동,,,,,,,,,,,,,
430,,,,남목2동,,,,,,,,,,,,,
431,,,,남목3동,,,,,,,,,,,,,
432,,,,남부동,,,,,,,,,,,,,
433,,,,남부면,,,,,,,,,,,,,
434,,,,남부민제1동,,,,,,,,,,,,,
435,,,,남부민제2동,,,,,,,,,,,,,
436,,,,남사읍,,,,,,,,,,,,,
437,,,,남산1동,,,,,,,,,,,,,
438,,,,남산2동,,,,,,,,,,,,,
439,,,,남산3동,,,,,,,,,,,,,
440,,,,남산4동,,,,,,,,,,,,,
441,,,,남산동,,,,,,,,,,,,,
442,,,,남산면,,,,,,,,,,,,,
443,,,,남상면,,,,,,,,,,,,,
444,,,,남선면,,,,,,,,,,,,,
445,,,,남양동,,,,,,,,,,,,,
446,,,,남양면,,,,,,,,,,,,,
447,,,,남양읍,,,,,,,,,,,,,
448,,,,남영동,,,,,,,,,,,,,
449,,,,남원동,,,,,,,,,,,,,
450,,,,남원읍,,,,,,,,,,,,,
451,,,,남이면,,,,,,,,,,,,,
452,,,,남일면,,,,,,,,,,,,,
453,,,,남정면,,,,,,,,,,,,,
454,,,,남제동,,,,,,,,,,,,,
455,,,,남종면,,,,,,,,,,,,,
456,,,,남중동,,,,,,,,,,,,,
457,,,,남지읍,,,,,,,,,,,,,
458,,,,남천면,,,,,,,,,,,,,
459,,,,남천제1동,,,,,,,,,,,,,
460,,,,남천제2동,,,,,,,,,,,,,
461,,,,남촌도림동,,,,,,,,,,,,,
462,,,,남촌동,,,,,,,,,,,,,
463,,,,남평읍,,,,,,,,,,,,,
464,,,,남포동,,,,,,,,,,,,,
465,,,,남포면,,,,,,,,,,,,,
466,,,,남하면,,,,,,,,,,,,,
467,,,,남한산성면,,,,,,,,,,,,,
468,,,,남항동,,,,,,,,,,,,,
